hour,weighted_min_sum,pct_of_category,stratum,category
13,2625750699.216075,2.93,O4,eating
14,2584851357.651866,2.89,O4,eating
15,5590390153.724904,6.25,O4,eating
16,5225960260.389355,5.84,O4,eating
17,8477225042.72846,9.47,O4,eating
18,11811066872.8833,13.19,O4,eating
19,7381699577.499775,8.25,O4,eating
20,2502370504.5266447,2.8,O4,eating
21,2485543983.32458,2.78,O4,eating
22,2335964151.646515,2.61,O4,eating
23,0.0,0.0,O4,eating
0,0.0,0.0,O4,exercise
1,0.0,0.0,O4,exercise
2,0.0,0.0,O4,exercise
3,0.0,0.0,O4,exercise
4,2106212480.4735,8.1,O4,exercise
5,0.0,0.0,O4,exercise
6,0.0,0.0,O4,exercise
7,319024471.42803,1.23,O4,exercise
8,959428772.4537599,3.69,O4,exercise
9,2092426365.52898,8.04,O4,exercise
10,229877046.75042,0.88,O4,exercise
11,6623434010.19456,25.46,O4,exercise
12,3433224199.2719398,13.2,O4,exercise
13,2202621622.25487,8.47,O4,exercise
14,843106163.39073,3.24,O4,exercise
15,2545989816.06252,9.79,O4,exercise
16,383756719.73855996,1.48,O4,exercise
17,477719372.13554,1.84,O4,exercise
18,0.0,0.0,O4,exercise
19,3168776924.3106947,12.18,O4,exercise
20,491982665.30227995,1.89,O4,exercise
21,0.0,0.0,O4,exercise
22,132992979.26727,0.51,O4,exercise
23,0.0,0.0,O4,exercise
